image_id,article_slug,article_title,category_path,position,local_path,status,bytes,src,inline_base64,alt,article_url
stripe-transaction-reports__img01,stripe-transaction-reports,Export Stripe Reports,general,1,images/general/stripe-transaction-reports/stripe-transaction-reports__img01.png,ok,19457,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/711be212d91c746340bf1a704853f3e6.png,no,,https://helpdesk.resy.com/en_us/stripe-transaction-reports-HJYL7AJ7T
today-overview__img01,today-overview,Advanced Analytics - Today:Overview,reporting-analytics/advanced-analytics,1,images/reporting-analytics/advanced-analytics/today-overview/today-overview__img01.png,ok,54752,,yes,"A screenshot of a web page

Description automatically generated",https://helpdesk.resy.com/en_us/today-overview-B1gyazx3T
today-overview__img02,today-overview,Advanced Analytics - Today:Overview,reporting-analytics/advanced-analytics,2,images/reporting-analytics/advanced-analytics/today-overview/today-overview__img02.png,ok,23496,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/4d48c08fb13cbe400a7f65e91a1c3ad9.png,no,,https://helpdesk.resy.com/en_us/today-overview-B1gyazx3T
today-overview__img03,today-overview,Advanced Analytics - Today:Overview,reporting-analytics/advanced-analytics,3,images/reporting-analytics/advanced-analytics/today-overview/today-overview__img03.png,ok,81741,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/8fabb9180425a80c6a9d865ad10a8b61.png,no,,https://helpdesk.resy.com/en_us/today-overview-B1gyazx3T
today-overview__img04,today-overview,Advanced Analytics - Today:Overview,reporting-analytics/advanced-analytics,4,images/reporting-analytics/advanced-analytics/today-overview/today-overview__img04.png,ok,109600,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/050e012c9d8bc83817e5414983bd5eb1.png,no,,https://helpdesk.resy.com/en_us/today-overview-B1gyazx3T
today-overview__img05,today-overview,Advanced Analytics - Today:Overview,reporting-analytics/advanced-analytics,5,images/reporting-analytics/advanced-analytics/today-overview/today-overview__img05.png,ok,80478,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/5c99116e25130fd307742e80d14e317a.png,no,,https://helpdesk.resy.com/en_us/today-overview-B1gyazx3T
transaction-settings-can__img01,transaction-settings-can,Transaction Settings (CAN),transactions,1,images/transactions/transaction-settings-can/transaction-settings-can__img01.png,ok,54907,,yes,A screenshot of a social media accountAI-generated content may be incorrect.,https://helpdesk.resy.com/en_us/transaction-settings-can-SJQBooEHt
transaction-settings-can__img02,transaction-settings-can,Transaction Settings (CAN),transactions,2,images/transactions/transaction-settings-can/transaction-settings-can__img02.png,ok,61117,,yes,A screenshot of a websiteAI-generated content may be incorrect.,https://helpdesk.resy.com/en_us/transaction-settings-can-SJQBooEHt
transaction-settings-can__img03,transaction-settings-can,Transaction Settings (CAN),transactions,3,images/transactions/transaction-settings-can/transaction-settings-can__img03.png,ok,289618,,yes,A screenshot of a computerAI-generated content may be incorrect.,https://helpdesk.resy.com/en_us/transaction-settings-can-SJQBooEHt
transaction-settings-can__img04,transaction-settings-can,Transaction Settings (CAN),transactions,4,images/transactions/transaction-settings-can/transaction-settings-can__img04.png,ok,461249,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/b09fd7ea199fa7af7f1ee557a022c46a.png,no,,https://helpdesk.resy.com/en_us/transaction-settings-can-SJQBooEHt
today-spread-of-shift__img01,today-spread-of-shift,Advanced Analytics - Today: Spread of Shift,reporting-analytics/advanced-analytics,1,images/reporting-analytics/advanced-analytics/today-spread-of-shift/today-spread-of-shift__img01.png,ok,660066,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/033c05e643ab489627b16ce39937d7d8.png,no,,https://helpdesk.resy.com/en_us/today-spread-of-shift-S1NBXXx2T
today-spread-of-shift__img02,today-spread-of-shift,Advanced Analytics - Today: Spread of Shift,reporting-analytics/advanced-analytics,2,images/reporting-analytics/advanced-analytics/today-spread-of-shift/today-spread-of-shift__img02.png,ok,56390,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/b135877f126b66c156435e7c4f70435b.png,no,,https://helpdesk.resy.com/en_us/today-spread-of-shift-S1NBXXx2T
today-spread-of-shift__img03,today-spread-of-shift,Advanced Analytics - Today: Spread of Shift,reporting-analytics/advanced-analytics,3,images/reporting-analytics/advanced-analytics/today-spread-of-shift/today-spread-of-shift__img03.png,ok,306231,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/f28b3feae69118c37c204641c83fd0b2.png,no,,https://helpdesk.resy.com/en_us/today-spread-of-shift-S1NBXXx2T
today-spread-of-shift__img04,today-spread-of-shift,Advanced Analytics - Today: Spread of Shift,reporting-analytics/advanced-analytics,4,images/reporting-analytics/advanced-analytics/today-spread-of-shift/today-spread-of-shift__img04.png,ok,349098,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/0cefb722435fe7678d26786afa06ede8.png,no,,https://helpdesk.resy.com/en_us/today-spread-of-shift-S1NBXXx2T
training-exercises__img01,training-exercises,Training Exercises,training-resources,1,images/training-resources/training-exercises/training-exercises__img01.png,ok,180,,yes,,https://helpdesk.resy.com/en_us/training-exercises-r1WUwmI_
transitioning-to-stripe__img01,transitioning-to-stripe,Transitioning to Stripe,general,1,images/general/transitioning-to-stripe/transitioning-to-stripe__img01.png,ok,26713,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/e6d3adc4e416afb009e5d7c98afe175b.png,no,,https://helpdesk.resy.com/en_us/transitioning-to-stripe-HJSX11JCc
transitioning-to-stripe__img02,transitioning-to-stripe,Transitioning to Stripe,general,2,images/general/transitioning-to-stripe/transitioning-to-stripe__img02.png,ok,74267,,yes,,https://helpdesk.resy.com/en_us/transitioning-to-stripe-HJSX11JCc
transitioning-to-stripe__img03,transitioning-to-stripe,Transitioning to Stripe,general,3,images/general/transitioning-to-stripe/transitioning-to-stripe__img03.png,ok,48405,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/d5dae943100e04ac2bf38ba9daef23d8.png,no,,https://helpdesk.resy.com/en_us/transitioning-to-stripe-HJSX11JCc
transitioning-to-stripe__img04,transitioning-to-stripe,Transitioning to Stripe,general,4,images/general/transitioning-to-stripe/transitioning-to-stripe__img04.png,ok,43241,,yes,,https://helpdesk.resy.com/en_us/transitioning-to-stripe-HJSX11JCc
troubleshooting-for-bluetooth-chit-printers__img01,troubleshooting-for-bluetooth-chit-printers,Chit Printing in the ResyOS App,in-service-troubleshooting,1,images/in-service-troubleshooting/troubleshooting-for-bluetooth-chit-printers/troubleshooting-for-bluetooth-chit-printers__img01.png,ok,803255,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/6266640a88c0e8282170c54200bb02df.png,no,,https://helpdesk.resy.com/en_us/troubleshooting-for-bluetooth-chit-printers-rycyGwXId
troubleshooting-for-bluetooth-chit-printers__img02,troubleshooting-for-bluetooth-chit-printers,Chit Printing in the ResyOS App,in-service-troubleshooting,2,images/in-service-troubleshooting/troubleshooting-for-bluetooth-chit-printers/troubleshooting-for-bluetooth-chit-printers__img02.jpg,ok,1032912,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/9bb397998919973b19b843b633cf22a5.jpg,no,,https://helpdesk.resy.com/en_us/troubleshooting-for-bluetooth-chit-printers-rycyGwXId
unique-table-setups-in-resy-os__img01,unique-table-setups-in-resy-os,Unique Seating Setups in Resy OS,general,1,images/general/unique-table-setups-in-resy-os/unique-table-setups-in-resy-os__img01.png,ok,355439,,yes,,https://helpdesk.resy.com/en_us/unique-table-setups-in-resy-os-HyHECGSap
use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event__img01,use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event,How do I use Slots to create unique experiences at different times during my Event?,events-virtual-experiences,1,images/events-virtual-experiences/use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event/use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event__img01.png,ok,513298,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/262eaf05134f3238ae7aa3ea765e82b0.png,no,,https://helpdesk.resy.com/en_us/use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event-ry3tWv78_
use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event__img02,use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event,How do I use Slots to create unique experiences at different times during my Event?,events-virtual-experiences,2,images/events-virtual-experiences/use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event/use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event__img02.png,ok,124662,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/ab81c340677cc5373264306a4bb55376.png,no,,https://helpdesk.resy.com/en_us/use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event-ry3tWv78_
use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event__img03,use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event,How do I use Slots to create unique experiences at different times during my Event?,events-virtual-experiences,3,images/events-virtual-experiences/use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event/use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event__img03.png,ok,162911,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/1ceef5f16ccd1800261a3f948d63becb.png,no,,https://helpdesk.resy.com/en_us/use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event-ry3tWv78_
use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event__img04,use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event,How do I use Slots to create unique experiences at different times during my Event?,events-virtual-experiences,4,images/events-virtual-experiences/use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event/use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event__img04.png,ok,131712,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/1ea4a87fbb41e2f4851831883f7a4855.png,no,,https://helpdesk.resy.com/en_us/use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event-ry3tWv78_
use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event__img05,use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event,How do I use Slots to create unique experiences at different times during my Event?,events-virtual-experiences,5,images/events-virtual-experiences/use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event/use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event__img05.png,ok,138604,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/749924fdddee88009d05fad16b11f83c.png,no,,https://helpdesk.resy.com/en_us/use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event-ry3tWv78_
use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event__img06,use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event,How do I use Slots to create unique experiences at different times during my Event?,events-virtual-experiences,6,images/events-virtual-experiences/use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event/use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event__img06.png,ok,171829,https://cdn.kustomerhostedcontent.com/media/6036f66758799c770950d98d/f6d5ab7554dc10d885a140d54571e4c7.png,no,,https://helpdesk.resy.com/en_us/use-slots-to-create-unique-experiences-for-each-seating-time-of-your-event-ry3tWv78_
